"prompt","completion"
"What fields does class named com.cloudurable.java2csv.ClassVisitor with fully qualified name ClassVisitor have?  ##-->","static Pattern JAVA_DOC_REGEX = Pattern.compile(""^/\*\*.*?\*/\s*"", Pattern.DOTALL);
private final CompilationUnit compilationUnit;
private final List<Item> items; ##END"
"How is the field com.cloudurable.java2csv.ClassVisitor.JAVA_DOC_REGEX (JAVA_DOC_REGEX) which is in class com.cloudurable.java2csv.ClassVisitor defined?  ##-->","static Pattern JAVA_DOC_REGEX = Pattern.compile(""^/\*\*.*?\*/\s*"", Pattern.DOTALL); ##END"
"How is the field com.cloudurable.java2csv.ClassVisitor.compilationUnit (compilationUnit) which is in class com.cloudurable.java2csv.ClassVisitor defined?  ##-->","private final CompilationUnit compilationUnit; ##END"
"How is the field com.cloudurable.java2csv.ClassVisitor.items (items) which is in class com.cloudurable.java2csv.ClassVisitor defined?  ##-->","private final List<Item> items; ##END"
"How is class com.cloudurable.java2csv.Item (Item) defined?  ##-->","public class Item { /* the rest ... */ } ##END"
"What is the source code for class named com.cloudurable.java2csv.Item with fully qualified name Item?  ##-->","public class Item {

    /**
     * Import body, the imports for the class.
     */
    private final String importBody;

    /**
     *  Code body, the whole code for the item.
     */
    private final String body;

    /**
     *  JavaDoc, the javadoc for the item.
     */
    private final String javadoc;

    private final String name;

    private final String simpleName;

    private final String definition;

    private final Item parent;

    private final JavaItemType type;

    /**
     * Constructs a new Item.
     *
     * @param importBody  the import statements associated with the item
     * @param body        the source code body of the item
     * @param javadoc     the Javadoc documentation of the item
     * @param name        the fully qualified name of the item
     * @param simpleName  the simple name of the item
     * @param definition  the definition of the item
     * @param parent      the parent item of the current item (e.g., for inner classes)
     * @param type        the type of the item (e.g., class, method, field)
     */
    public Item(String importBody, String body, String javadoc, String name, String simpleName, String definition, Item parent, JavaItemType type) {
        this.importBody = orEmptyString(importBody);
        this.body = orEmptyString(body);
        this.javadoc = orEmptyString(javadoc);
        this.name = orEmptyString(name);
        this.simpleName = orEmptyString(simpleName);
        this.definition = orEmptyString(definition);
        this.parent = parent;
        this.type = type;
    }

    /**
     * Returns the column headers for the CSV representation of an Item.
     *
     * @return the column headers
     */
    public static List<String> headers() {
        return List.of(""Name"", ""Type"", ""FullName"", ""Definition"", ""JavaDoc"", ""Parent"", ""Imports"", ""Body"");
    }

    /**
     * Returns a builder to construct an Item.
     *
     * @return the Item builder
     */
    public static Builder builder() {
        return new Builder();
    }

    private String orEmptyString(String part) {
        return part == null ? """" : part;
    }

    /**
     * Returns a row representing the Item for the CSV output.
     *
     * @return the row representing the Item
     */
    public List<String> row() {
        return List.of(simpleName, type.toString().toLowerCase(), name, definition, javadoc, parent != null ? parent.getName() : """", importBody, body);
    }

    /**
     * Returns the import statements associated with the item.
     *
     * @return the import statements
     */
    public String getImportBody() {
        return importBody;
    }

    /**
     * Returns the source code body of the item.
     *
     * @return the source code body
     */
    public String getBody() {
        return body;
    }

    /**
     * Returns the Javadoc documentation of the item.
     *
     * @return the Javadoc documentation
     */
    public String getJavadoc() {
        return javadoc;
    }

    /**
     * Returns the fully qualified name of the item.
     *
     * @return the fully qualified name
     */
    public String getName() {
        return name;
    }

    /**
     * Returns the definition of the item.
     *
     * @return the definition
     */
    public String getDefinition() {
        return definition;
    }

    /**
     * Returns the parent item of the current item.
     *
     * @return the parent item
     */
    public Item getParent() {
        return parent;
    }

    /**
     * Returns the type of the item.
     *
     * @return the item type
     */
    public JavaItemType getType() {
        return type;
    }

    @Override
    public String toString() {
        return ""Item{"" + ""simpleName='"" + simpleName + ''' + "", type="" + type + "", name='"" + name + ''' + "", definition='"" + definition + ''' + "", parent="" + parent + "", importBody='"" + importBody + ''' + "", javadoc='"" + javadoc + ''' + "", body='"" + body + ''' + '}';
    }

    /**
     * Builder class for constructing an Item.
     */
    public static class Builder {

        private String body;

        private String javadoc;

        private String name;

        private String definition;

        private Item parent;

        private String importBody;

        private String simpleName;

        private JavaItemType type;

        private Builder() {
        }

        public Builder simpleName(String simpleName) {
            this.simpleName = simpleName;
            return this;
        }

        public Builder type(JavaItemType type) {
            this.type = type;
            return this;
        }

        public Builder importBody(String importBody) {
            this.importBody = importBody;
            return this;
        }

        public Builder body(String body) {
            this.body = body;
            return this;
        }

        public Builder javadoc(String javadoc) {
            this.javadoc = javadoc;
            return this;
        }
 ##END"
"What does class named com.cloudurable.java2csv.Item with fully qualified name Item do according to the JavaDoc?  ##-->","/**
 * Represents an item in Java code, such as a class, method, or field.
 */
 ##END"
"What are the imports for class named com.cloudurable.java2csv.Item with fully qualified name Item?  ##-->","import java.util.List;
 ##END"
"What methods does class named com.cloudurable.java2csv.Item with fully qualified name Item have?  ##-->","public static List<String> headers() { /* the rest ... */ }
public static Builder builder() { /* the rest ... */ }
private String orEmptyString(String part) { /* the rest ... */ }
public List<String> row() { /* the rest ... */ }
public String getImportBody() { /* the rest ... */ }
public String getBody() { /* the rest ... */ }
public String getJavadoc() { /* the rest ... */ }
public String getName() { /* the rest ... */ }
public String getDefinition() { /* the rest ... */ }
public Item getParent() { /* the rest ... */ }
public JavaItemType getType() { /* the rest ... */ }
@Override
public String toString() { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Item.headers (headers) do according to the JavaDoc?  ##-->","/**
 * Returns the column headers for the CSV representation of an Item.
 *
 * @return the column headers
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Item.headers (headers) from class com.cloudurable.java2csv.Item?  ##-->","public static List<String> headers() {
    return List.of(""Name"", ""Type"", ""FullName"", ""Definition"", ""JavaDoc"", ""Parent"", ""Imports"", ""Body"");
} ##END"
"How is the method com.cloudurable.java2csv.Item.headers (headers) from class com.cloudurable.java2csv.Item defined?  ##-->","public static List<String> headers() { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Item.builder (builder) do according to the JavaDoc?  ##-->","/**
 * Returns a builder to construct an Item.
 *
 * @return the Item builder
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Item.builder (builder) from class com.cloudurable.java2csv.Item?  ##-->","public static Builder builder() {
    return new Builder();
} ##END"
"How is the method com.cloudurable.java2csv.Item.builder (builder) from class com.cloudurable.java2csv.Item defined?  ##-->","public static Builder builder() { /* the rest ... */ } ##END"
"What is the source code for method com.cloudurable.java2csv.Item.orEmptyString (orEmptyString) from class com.cloudurable.java2csv.Item?  ##-->","private String orEmptyString(String part) {
    return part == null ? """" : part;
} ##END"
"How is the method com.cloudurable.java2csv.Item.orEmptyString (orEmptyString) from class com.cloudurable.java2csv.Item defined?  ##-->","private String orEmptyString(String part) { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Item.row (row) do according to the JavaDoc?  ##-->","/**
 * Returns a row representing the Item for the CSV output.
 *
 * @return the row representing the Item
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Item.row (row) from class com.cloudurable.java2csv.Item?  ##-->","public List<String> row() {
    return List.of(simpleName, type.toString().toLowerCase(), name, definition, javadoc, parent != null ? parent.getName() : """", importBody, body);
} ##END"
"How is the method com.cloudurable.java2csv.Item.row (row) from class com.cloudurable.java2csv.Item defined?  ##-->","public List<String> row() { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Item.getImportBody (getImportBody) do according to the JavaDoc?  ##-->","/**
 * Returns the import statements associated with the item.
 *
 * @return the import statements
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Item.getImportBody (getImportBody) from class com.cloudurable.java2csv.Item?  ##-->","public String getImportBody() {
    return importBody;
} ##END"
"How is the method com.cloudurable.java2csv.Item.getImportBody (getImportBody) from class com.cloudurable.java2csv.Item defined?  ##-->","public String getImportBody() { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Item.getBody (getBody) do according to the JavaDoc?  ##-->","/**
 * Returns the source code body of the item.
 *
 * @return the source code body
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Item.getBody (getBody) from class com.cloudurable.java2csv.Item?  ##-->","public String getBody() {
    return body;
} ##END"
"How is the method com.cloudurable.java2csv.Item.getBody (getBody) from class com.cloudurable.java2csv.Item defined?  ##-->","public String getBody() { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Item.getJavadoc (getJavadoc) do according to the JavaDoc?  ##-->","/**
 * Returns the Javadoc documentation of the item.
 *
 * @return the Javadoc documentation
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Item.getJavadoc (getJavadoc) from class com.cloudurable.java2csv.Item?  ##-->","public String getJavadoc() {
    return javadoc;
} ##END"
"How is the method com.cloudurable.java2csv.Item.getJavadoc (getJavadoc) from class com.cloudurable.java2csv.Item defined?  ##-->","public String getJavadoc() { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Item.getName (getName) do according to the JavaDoc?  ##-->","/**
 * Returns the fully qualified name of the item.
 *
 * @return the fully qualified name
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Item.getName (getName) from class com.cloudurable.java2csv.Item?  ##-->","public String getName() {
    return name;
} ##END"
"How is the method com.cloudurable.java2csv.Item.getName (getName) from class com.cloudurable.java2csv.Item defined?  ##-->","public String getName() { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Item.getDefinition (getDefinition) do according to the JavaDoc?  ##-->","/**
 * Returns the definition of the item.
 *
 * @return the definition
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Item.getDefinition (getDefinition) from class com.cloudurable.java2csv.Item?  ##-->","public String getDefinition() {
    return definition;
} ##END"
"How is the method com.cloudurable.java2csv.Item.getDefinition (getDefinition) from class com.cloudurable.java2csv.Item defined?  ##-->","public String getDefinition() { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Item.getParent (getParent) do according to the JavaDoc?  ##-->","/**
 * Returns the parent item of the current item.
 *
 * @return the parent item
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Item.getParent (getParent) from class com.cloudurable.java2csv.Item?  ##-->","public Item getParent() {
    return parent;
} ##END"
"How is the method com.cloudurable.java2csv.Item.getParent (getParent) from class com.cloudurable.java2csv.Item defined?  ##-->","public Item getParent() { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Item.getType (getType) do according to the JavaDoc?  ##-->","/**
 * Returns the type of the item.
 *
 * @return the item type
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Item.getType (getType) from class com.cloudurable.java2csv.Item?  ##-->","public JavaItemType getType() {
    return type;
} ##END"
"How is the method com.cloudurable.java2csv.Item.getType (getType) from class com.cloudurable.java2csv.Item defined?  ##-->","public JavaItemType getType() { /* the rest ... */ } ##END"
"What is the source code for method com.cloudurable.java2csv.Item.toString (toString) from class com.cloudurable.java2csv.Item?  ##-->","@Override
public String toString() {
    return ""Item{"" + ""simpleName='"" + simpleName + ''' + "", type="" + type + "", name='"" + name + ''' + "", definition='"" + definition + ''' + "", parent="" + parent + "", importBody='"" + importBody + ''' + "", javadoc='"" + javadoc + ''' + "", body='"" + body + ''' + '}';
} ##END"
"How is the method com.cloudurable.java2csv.Item.toString (toString) from class com.cloudurable.java2csv.Item defined?  ##-->","@Override
public String toString() { /* the rest ... */ } ##END"
"What fields does class named com.cloudurable.java2csv.Item with fully qualified name Item have?  ##-->","private final String importBody;
private final String body;
private final String javadoc;
private final String name;
private final String simpleName;
private final String definition;
private final Item parent;
private final JavaItemType type; ##END"
"What is the field com.cloudurable.java2csv.Item.importBody (importBody) defined in class com.cloudurable.java2csv.Item do according to the JavaDoc?  ##-->","/**
 * Import body, the imports for the class.
 */
 ##END"
"How is the field com.cloudurable.java2csv.Item.importBody (importBody) which is in class com.cloudurable.java2csv.Item defined?  ##-->","private final String importBody; ##END"
"What is the field com.cloudurable.java2csv.Item.body (body) defined in class com.cloudurable.java2csv.Item do according to the JavaDoc?  ##-->","/**
 *  Code body, the whole code for the item.
 */
 ##END"
"How is the field com.cloudurable.java2csv.Item.body (body) which is in class com.cloudurable.java2csv.Item defined?  ##-->","private final String body; ##END"
"What is the field com.cloudurable.java2csv.Item.javadoc (javadoc) defined in class com.cloudurable.java2csv.Item do according to the JavaDoc?  ##-->","/**
 *  JavaDoc, the javadoc for the item.
 */
 ##END"
"How is the field com.cloudurable.java2csv.Item.javadoc (javadoc) which is in class com.cloudurable.java2csv.Item defined?  ##-->","private final String javadoc; ##END"
"How is the field com.cloudurable.java2csv.Item.name (name) which is in class com.cloudurable.java2csv.Item defined?  ##-->","private final String name; ##END"
"How is the field com.cloudurable.java2csv.Item.simpleName (simpleName) which is in class com.cloudurable.java2csv.Item defined?  ##-->","private final String simpleName; ##END"
"How is the field com.cloudurable.java2csv.Item.definition (definition) which is in class com.cloudurable.java2csv.Item defined?  ##-->","private final String definition; ##END"
"How is the field com.cloudurable.java2csv.Item.parent (parent) which is in class com.cloudurable.java2csv.Item defined?  ##-->","private final Item parent; ##END"
"How is the field com.cloudurable.java2csv.Item.type (type) which is in class com.cloudurable.java2csv.Item defined?  ##-->","private final JavaItemType type; ##END"
"How is class com.cloudurable.java2csv.Builder (Builder) defined?  ##-->","public static class Builder { /* the rest ... */ } ##END"
"What is the source code for class named com.cloudurable.java2csv.Builder with fully qualified name Builder?  ##-->","public static class Builder {

    private String body;

    private String javadoc;

    private String name;

    private String definition;

    private Item parent;

    private String importBody;

    private String simpleName;

    private JavaItemType type;

    private Builder() {
    }

    public Builder simpleName(String simpleName) {
        this.simpleName = simpleName;
        return this;
    }

    public Builder type(JavaItemType type) {
        this.type = type;
        return this;
    }

    public Builder importBody(String importBody) {
        this.importBody = importBody;
        return this;
    }

    public Builder body(String body) {
        this.body = body;
        return this;
    }

    public Builder javadoc(String javadoc) {
        this.javadoc = javadoc;
        return this;
    }

    public Builder name(String name) {
        this.name = name;
        return this;
    }

    public Builder definition(String definition) {
        this.definition = definition;
        return this;
    }

    public Builder parent(Item parent) {
        this.parent = parent;
        return this;
    }

    /**
     * Builds and returns the Item.
     *
     * @return the constructed Item
     */
    public Item build() {
        return new Item(importBody, body, javadoc, name, simpleName, definition, parent, type);
    }
} ##END"
"What does class named com.cloudurable.java2csv.Builder with fully qualified name Builder do according to the JavaDoc?  ##-->","/**
 * Builder class for constructing an Item.
 */
 ##END"
"What are the imports for class named com.cloudurable.java2csv.Builder with fully qualified name Builder?  ##-->","import java.util.List;
 ##END"
"What methods does class named com.cloudurable.java2csv.Builder with fully qualified name Builder have?  ##-->","public Builder simpleName(String simpleName) { /* the rest ... */ }
public Builder type(JavaItemType type) { /* the rest ... */ }
public Builder importBody(String importBody) { /* the rest ... */ }
public Builder body(String body) { /* the rest ... */ }
public Builder javadoc(String javadoc) { /* the rest ... */ }
public Builder name(String name) { /* the rest ... */ }
public Builder definition(String definition) { /* the rest ... */ }
public Builder parent(Item parent) { /* the rest ... */ }
public Item build() { /* the rest ... */ } ##END"
"What is the source code for method com.cloudurable.java2csv.Builder.simpleName (simpleName) from class com.cloudurable.java2csv.Builder?  ##-->","public Builder simpleName(String simpleName) {
    this.simpleName = simpleName;
    return this;
} ##END"
"How is the method com.cloudurable.java2csv.Builder.simpleName (simpleName) from class com.cloudurable.java2csv.Builder defined?  ##-->","public Builder simpleName(String simpleName) { /* the rest ... */ } ##END"
"What is the source code for method com.cloudurable.java2csv.Builder.type (type) from class com.cloudurable.java2csv.Builder?  ##-->","public Builder type(JavaItemType type) {
    this.type = type;
    return this;
} ##END"
"How is the method com.cloudurable.java2csv.Builder.type (type) from class com.cloudurable.java2csv.Builder defined?  ##-->","public Builder type(JavaItemType type) { /* the rest ... */ } ##END"
"What is the source code for method com.cloudurable.java2csv.Builder.importBody (importBody) from class com.cloudurable.java2csv.Builder?  ##-->","public Builder importBody(String importBody) {
    this.importBody = importBody;
    return this;
} ##END"
"How is the method com.cloudurable.java2csv.Builder.importBody (importBody) from class com.cloudurable.java2csv.Builder defined?  ##-->","public Builder importBody(String importBody) { /* the rest ... */ } ##END"
"What is the source code for method com.cloudurable.java2csv.Builder.body (body) from class com.cloudurable.java2csv.Builder?  ##-->","public Builder body(String body) {
    this.body = body;
    return this;
} ##END"
"How is the method com.cloudurable.java2csv.Builder.body (body) from class com.cloudurable.java2csv.Builder defined?  ##-->","public Builder body(String body) { /* the rest ... */ } ##END"
"What is the source code for method com.cloudurable.java2csv.Builder.javadoc (javadoc) from class com.cloudurable.java2csv.Builder?  ##-->","public Builder javadoc(String javadoc) {
    this.javadoc = javadoc;
    return this;
} ##END"
"How is the method com.cloudurable.java2csv.Builder.javadoc (javadoc) from class com.cloudurable.java2csv.Builder defined?  ##-->","public Builder javadoc(String javadoc) { /* the rest ... */ } ##END"
"What is the source code for method com.cloudurable.java2csv.Builder.name (name) from class com.cloudurable.java2csv.Builder?  ##-->","public Builder name(String name) {
    this.name = name;
    return this;
} ##END"
"How is the method com.cloudurable.java2csv.Builder.name (name) from class com.cloudurable.java2csv.Builder defined?  ##-->","public Builder name(String name) { /* the rest ... */ } ##END"
"What is the source code for method com.cloudurable.java2csv.Builder.definition (definition) from class com.cloudurable.java2csv.Builder?  ##-->","public Builder definition(String definition) {
    this.definition = definition;
    return this;
} ##END"
"How is the method com.cloudurable.java2csv.Builder.definition (definition) from class com.cloudurable.java2csv.Builder defined?  ##-->","public Builder definition(String definition) { /* the rest ... */ } ##END"
"What is the source code for method com.cloudurable.java2csv.Builder.parent (parent) from class com.cloudurable.java2csv.Builder?  ##-->","public Builder parent(Item parent) {
    this.parent = parent;
    return this;
} ##END"
"How is the method com.cloudurable.java2csv.Builder.parent (parent) from class com.cloudurable.java2csv.Builder defined?  ##-->","public Builder parent(Item parent) { /* the rest ... */ } ##END"
"What does method com.cloudurable.java2csv.Builder.build (build) do according to the JavaDoc?  ##-->","/**
 * Builds and returns the Item.
 *
 * @return the constructed Item
 */
 ##END"
"What is the source code for method com.cloudurable.java2csv.Builder.build (build) from class com.cloudurable.java2csv.Builder?  ##-->","public Item build() {
    return new Item(importBody, body, javadoc, name, simpleName, definition, parent, type);
} ##END"
"How is the method com.cloudurable.java2csv.Builder.build (build) from class com.cloudurable.java2csv.Builder defined?  ##-->","public Item build() { /* the rest ... */ } ##END"
"What fields does class named com.cloudurable.java2csv.Builder with fully qualified name Builder have?  ##-->","private String body;
private String javadoc;
private String name;
private String definition;
private Item parent;
private String importBody;
private String simpleName;
private JavaItemType type; ##END"
"How is the field com.cloudurable.java2csv.Builder.body (body) which is in class com.cloudurable.java2csv.Builder defined?  ##-->","private String body; ##END"
"How is the field com.cloudurable.java2csv.Builder.javadoc (javadoc) which is in class com.cloudurable.java2csv.Builder defined?  ##-->","private String javadoc; ##END"
"How is the field com.cloudurable.java2csv.Builder.name (name) which is in class com.cloudurable.java2csv.Builder defined?  ##-->","private String name; ##END"
"How is the field com.cloudurable.java2csv.Builder.definition (definition) which is in class com.cloudurable.java2csv.Builder defined?  ##-->","private String definition; ##END"
"How is the field com.cloudurable.java2csv.Builder.parent (parent) which is in class com.cloudurable.java2csv.Builder defined?  ##-->","private Item parent; ##END"
"How is the field com.cloudurable.java2csv.Builder.importBody (importBody) which is in class com.cloudurable.java2csv.Builder defined?  ##-->","private String importBody; ##END"
"How is the field com.cloudurable.java2csv.Builder.simpleName (simpleName) which is in class com.cloudurable.java2csv.Builder defined?  ##-->","private String simpleName; ##END"
"How is the field com.cloudurable.java2csv.Builder.type (type) which is in class com.cloudurable.java2csv.Builder defined?  ##-->","private JavaItemType type; ##END"
